"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(AVAX)","Value_OUT(AVAX)","CurrentValue @ $0/Eth","TxnFee(AVAX)","TxnFee(USD)","Historical $Price/AVAX","Status","ErrCode","Method"
"0x24cd4afbf8c0f52567f806d859206d33c97c4b81b50ae00e21c76affcb63c630","20653225","1680718707","2023-04-05 18:18:27","0x2352d20fc81225c8ecd8f6faa1b37f24fed450c9","0x297adbb802536bb79b5d7d580b25074d4e40de33","","2","0","45.66","0.000567","0.01294461","18.01","","","Transfer",""
"0xae9ef4c03408ab4742a86b69b73f8b9225b47d0bbf66a13e6d724abe1afd8e28","20653322","1680718910","2023-04-05 18:21:50","0x007ab5199b6c57f7aa51bc3d0604a43505501a0c","0x297adbb802536bb79b5d7d580b25074d4e40de33","","0.01","0","0.2283","0.0005565","0.012704895","18.01","","","Transfer",""
"0x7351c744c9f0d47d6e1945806201cb3eb7e60c297982104ba9275524ed0cf5bf","20736350","1680899159","2023-04-07 20:25:59","0x2352d20fc81225c8ecd8f6faa1b37f24fed450c9","0x297adbb802536bb79b5d7d580b25074d4e40de33","","2","0","45.66","0.000567","0.01294461","17.62","","","Transfer",""
"0xbb2a1f3da4431525e4bee332f17119618b74280fdecdc2e2825f5939eb80a123","20771325","1680982913","2023-04-08 19:41:53","0x2352d20fc81225c8ecd8f6faa1b37f24fed450c9","0x297adbb802536bb79b5d7d580b25074d4e40de33","","2","0","45.66","0.000567","0.01294461","17.47","","","Transfer",""
"0x13d420d5c6dea926ea7dae0d9c5510404284744de64542e3c739d66feab549e1","20811685","1681112081","2023-04-10 07:34:41","0x2352d20fc81225c8ecd8f6faa1b37f24fed450c9","0x297adbb802536bb79b5d7d580b25074d4e40de33","","2","0","45.66","0.000567","0.01294461","17.94","","","Transfer",""
"0xa699d242c9020d095d8d16a5a636e7f2e7301eaebad82e17858e5d21fe4968bf","20811855","1681112505","2023-04-10 07:41:45","0x007ab5199b6c57f7aa51bc3d0604a43505501a0c","0x297adbb802536bb79b5d7d580b25074d4e40de33","","0.01","0","0.2283","0.0005565","0.012704895","17.94","","","Transfer",""
"0xbd8553081b14ec9efdf5a5493c2934b8d546c9281d7436935228d60b555c8e51","20842010","1681197846","2023-04-11 07:24:06","0x2352d20fc81225c8ecd8f6faa1b37f24fed450c9","0x297adbb802536bb79b5d7d580b25074d4e40de33","","2","0","45.66","0.000567","0.01294461","18.15","","","Transfer",""
"0xcd7108ba7816aebf5a07e4d309dba7a13341b02109e1807ec3f3f582a742819c","20870770","1681285138","2023-04-12 07:38:58","0x2352d20fc81225c8ecd8f6faa1b37f24fed450c9","0x297adbb802536bb79b5d7d580b25074d4e40de33","","2","0","45.66","0.000567","0.01294461","18.26","","","Transfer",""
"0xf6b7421d39fd9e4e0b7f4b89755ce8dff5c3c5cc0ca24edbcc642804fda065df","20898221","1681372205","2023-04-13 07:50:05","0x2352d20fc81225c8ecd8f6faa1b37f24fed450c9","0x297adbb802536bb79b5d7d580b25074d4e40de33","","2","0","45.66","0.000567","0.01294461","18.85","","","Transfer",""
"0x588356b69e48b611d5aa520b050bfdbd9dea7a12d5b1cd45ec17915d33cd66cb","20925067","1681461309","2023-04-14 08:35:09","0x2352d20fc81225c8ecd8f6faa1b37f24fed450c9","0x297adbb802536bb79b5d7d580b25074d4e40de33","","2","0","45.66","0.000567","0.01294461","19.25","","","Transfer",""
"0xa248cb72955cc71e34dfa0cc655e12631715bf052626007fb490e3b31e3709bb","20978142","1681635199","2023-04-16 08:53:19","0x2352d20fc81225c8ecd8f6faa1b37f24fed450c9","0x297adbb802536bb79b5d7d580b25074d4e40de33","","2","0","45.66","0.000567","0.01294461","20.18","","","Transfer",""
"0xd236bb5cd68ceb9535297841d28026d5817e1e775314bf8ca1f356b1666a7c0d","20978676","1681637312","2023-04-16 09:28:32","0x297adbb802536bb79b5d7d580b25074d4e40de33","","0x842aa1a985e24b88e72df0c2b56272f28b9bba61","0","0","0","0.08512581","1.9434222423","20.18","","","0x60806040",""
"0x139709361f7288e02b4b2e949a0ec8f4bfdbe0aff7e1262286029f4164d6d4bd","20978758","1681637651","2023-04-16 09:34:11","0x297adbb802536bb79b5d7d580b25074d4e40de33","","0xe50f1dab0363a9d92c7145e93c191b7159e2b9e3","0","0","0","0.078207255","1.78547163165","20.18","","","0x60806040",""
