"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(CELO)","Value_OUT(CELO)","CurrentValue @ $0/Eth","TxnFee(CELO)","TxnFee(USD)","Historical $Price/CELO","Status","ErrCode","Method"
"0x20ecffa91082ba63f0a188dca44018b708a49d614c0a7cdbe7f24ecb1eb107dc","17070002","1680718922","2023-04-05 18:22:02","0x007ab5199b6c57f7aa51bc3d0604a43505501a0c","0x297adbb802536bb79b5d7d580b25074d4e40de33","","0.1","0","0.0915","0.0001365","0.0001248975","0.70","","","Transfer",""
"0xc0d946c7622cbd3c00dab4f7e2dcad2762d0551f5df60d5fa99911d9df7175b2","17287172","1681805964","2023-04-18 08:19:24","0x297adbb802536bb79b5d7d580b25074d4e40de33","","0xde8ca0ab6a2985b19eba162f851ba6cf67afa8ef","0","0","0","0.05807415","0.05313784725","0.72","","","0x60806040",""
"0x0128ffcdef3e97af015d01c6f845a8a846447b7108cfc681f56d2865333eda08","17287187","1681806039","2023-04-18 08:20:39","0x297adbb802536bb79b5d7d580b25074d4e40de33","","0x842aa1a985e24b88e72df0c2b56272f28b9bba61","0","0","0","0.053619825","0.049062139875","0.72","","","0x60806040",""
"0xd79e7e2e53cc1f6f1fb13a8c36893aceaf3b7a90d2fab2dbaee9553fe089ded3","17287188","1681806044","2023-04-18 08:20:44","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x842aa1a985e24b88e72df0c2b56272f28b9bba61","","0","0","0","0.0016393","0.0014999595","0.72","","","0xa3274c9b",""
"0x030a747d12f8b9d7ad7c8a0bbdac807e1a7dd0ebdb57af9b18e9f9bd54e2f10f","17287189","1681806049","2023-04-18 08:20:49","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x842aa1a985e24b88e72df0c2b56272f28b9bba61","","0","0","0","0.0016396","0.001500234","0.72","","","0xa3274c9b",""
"0xeb4c2d9130d47eafe2ee9f0601a9bd1114f75702def331c1ca78125262e20e03","17287190","1681806054","2023-04-18 08:20:54","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x842aa1a985e24b88e72df0c2b56272f28b9bba61","","0","0","0","0.0016396","0.001500234","0.72","","","0xa3274c9b",""
"0xf5e2695ed79dc4bf95d3cdd97f0d1af031c3fa42f96e6f737a1bc3ed89ab761d","17287191","1681806059","2023-04-18 08:20:59","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x842aa1a985e24b88e72df0c2b56272f28b9bba61","","0","0","0","0.0012446","0.001138809","0.72","","","0xa3274c9b",""
"0x2c1c385761d3b85eb6ced76c0580b473e93a87882979a744899421bb83d2b359","17287192","1681806064","2023-04-18 08:21:04","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x842aa1a985e24b88e72df0c2b56272f28b9bba61","","0","0","0","0.0012446","0.001138809","0.72","","","0xa3274c9b",""
"0x7a3e08ca5ab86f4625748b27f3bc5b5f9c7b1332d997ba055046fb3b3778f865","17287193","1681806069","2023-04-18 08:21:09","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x842aa1a985e24b88e72df0c2b56272f28b9bba61","","0","0","0","0.0012446","0.001138809","0.72","","","0xa3274c9b",""
"0x5744eb486659101d6dc42eb629b35c8b8b685a20aec8ec6b62323b071b11c3af","17287194","1681806074","2023-04-18 08:21:14","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x842aa1a985e24b88e72df0c2b56272f28b9bba61","","0","0","0","0.0012446","0.001138809","0.72","","","0xa3274c9b",""
